lunar_month,lunar_day,lunar_label,deity_name,common_name,occasion_type
1,6,一月初六,清水祖師,祖師公,千秋
1,9,一月初九,玉皇上帝,天公,萬壽
1,13,一月十三,關聖帝君,關公,飛昇
1,15,一月十五,上元天官大帝,,聖誕
2,2,二月初二,濟公,,佛辰
2,2,二月初二,福德正神,土地公,聖誕
2,3,二月初三,文昌帝君,,千秋
2,15,二月十五,太上老君,老子,萬壽
2,16,二月十六,開漳聖王,,千秋
2,19,二月十九,觀世音菩薩,觀音,佛辰
2,22,二月廿二,廣澤尊王,,聖誕
3,3,三月初三,玄天上帝,上帝公,聖誕
3,15,三月十五,保生大帝,大道公,千秋
3,15,三月十五,財神,武財神/趙公明,千秋
3,20,三月二十,註生娘娘,,聖誕
3,23,三月廿三,天上聖母,媽祖,聖誕
4,8,四月初八,釋迦牟尼佛,佛祖,佛辰
5,6,五月初六,清水祖師,祖師公,成道
6,6,六月初六,虎爺,,聖誕
6,19,六月十九,觀世音菩薩,觀音,成道
6,24,六月廿四,關聖帝君,關公,聖誕
7,18,七月十八,瑤池金母,王母娘娘,聖誕
7,30,七月三十,地藏王菩薩,,佛辰
8,15,八月十五,月下老人,月老,千秋
8,18,八月十八,九天玄女,,聖誕
8,22,八月廿二,廣澤尊王,,成道
9,9,九月初九,中壇元帥,三太子,聖誕
9,19,九月十九,觀世音菩薩,觀音,出家
10,15,十月十五,下元水官大帝,,聖誕
12,8,十二月初八,釋迦牟尼佛,佛祖,成道
