solar_year,solar_date,weekday,deity_name,common_name,lunar_month,lunar_day,lunar_label,occasion_type,honorific_source,date_adjusted,adjust_note
2020,2020-02-08,星期六,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2021,2021-02-26,星期五,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2022,2022-02-15,星期二,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2023,2023-02-05,星期日,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2024,2024-02-24,星期六,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2025,2025-02-12,星期三,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2026,2026-03-03,星期二,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2027,2027-02-20,星期六,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2028,2028-02-09,星期三,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2029,2029-02-27,星期二,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2030,2030-02-17,星期日,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2031,2031-02-06,星期四,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2032,2032-02-25,星期三,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2033,2033-02-14,星期一,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2034,2034-03-05,星期日,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2035,2035-02-22,星期四,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2036,2036-02-11,星期一,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2037,2037-03-01,星期日,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2038,2038-02-18,星期四,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2039,2039-02-07,星期一,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2040,2040-02-26,星期日,上元天官大帝,,1,15,一月十五,聖誕,聖誕,false,
2020,2020-11-29,星期日,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2021,2021-11-19,星期五,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2022,2022-11-08,星期二,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
