solar_year,lunar_year,festival,solar_date
2021,2020,除夕,2021-02-11
2020,2020,正月初一,2020-01-25
2020,2020,正月初二,2020-01-26
2020,2020,正月初三,2020-01-27
2020,2020,正月初四,2020-01-28
2020,2020,正月初五,2020-01-29
2020,2020,元宵,2020-02-08
2020,2020,端午,2020-06-25
2020,2020,七夕,2020-08-25
2020,2020,中元,2020-09-02
2020,2020,中秋,2020-10-01
2020,2020,重陽,2020-10-25
2020,2020,清明,2020-04-04
2020,2020,冬至,2020-12-21
2022,2021,除夕,2022-01-31
2021,2021,正月初一,2021-02-12
2021,2021,正月初二,2021-02-13
2021,2021,正月初三,2021-02-14
2021,2021,正月初四,2021-02-15
2021,2021,正月初五,2021-02-16
2021,2021,元宵,2021-02-26
2021,2021,端午,2021-06-14
2021,2021,七夕,2021-08-14
2021,2021,中元,2021-08-22
2021,2021,中秋,2021-09-21
2021,2021,重陽,2021-10-14
2021,2021,清明,2021-04-04
2021,2021,冬至,2021-12-21
2023,2022,除夕,2023-01-21
2022,2022,正月初一,2022-02-01
2022,2022,正月初二,2022-02-02
2022,2022,正月初三,2022-02-03
2022,2022,正月初四,2022-02-04
2022,2022,正月初五,2022-02-05
2022,2022,元宵,2022-02-15
2022,2022,端午,2022-06-03
2022,2022,七夕,2022-08-04
2022,2022,中元,2022-08-12
2022,2022,中秋,2022-09-10
2022,2022,重陽,2022-10-04
2022,2022,清明,2022-04-05
2022,2022,冬至,2022-12-22
2024,2023,除夕,2024-02-09
2023,2023,正月初一,2023-01-22
2023,2023,正月初二,2023-01-23
2023,2023,正月初三,2023-01-24
2023,2023,正月初四,2023-01-25
2023,2023,正月初五,2023-01-26
2023,2023,元宵,2023-02-05
2023,2023,端午,2023-06-22
2023,2023,七夕,2023-08-22
2023,2023,中元,2023-08-30
2023,2023,中秋,2023-09-29
2023,2023,重陽,2023-10-23
2023,2023,清明,2023-04-05
2023,2023,冬至,2023-12-22
2025,2024,除夕,2025-01-28
2024,2024,正月初一,2024-02-10
2024,2024,正月初二,2024-02-11
2024,2024,正月初三,2024-02-12
