Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
,,,,,,,
中華民國開國紀念日,2027/1/1,,2027/1/1,,TRUE,,
,,,,,,,
例假日,2027/1/2,,2027/1/2,,TRUE,,
,,,,,,,
例假日,2027/1/3,,2027/1/3,,TRUE,,
,,,,,,,
例假日,2027/1/9,,2027/1/9,,TRUE,,
,,,,,,,
例假日,2027/1/10,,2027/1/10,,TRUE,,
,,,,,,,
例假日,2027/1/16,,2027/1/16,,TRUE,,
,,,,,,,
例假日,2027/1/17,,2027/1/17,,TRUE,,
,,,,,,,
例假日,2027/1/23,,2027/1/23,,TRUE,,
,,,,,,,
例假日,2027/1/24,,2027/1/24,,TRUE,,
,,,,,,,
例假日,2027/1/30,,2027/1/30,,TRUE,,
,,,,,,,
例假日,2027/1/31,,2027/1/31,,TRUE,,
,,,,,,,
小年夜,2027/2/4,,2027/2/4,,TRUE,,
,,,,,,,
農曆除夕,2027/2/5,,2027/2/5,,TRUE,,
,,,,,,,
春節,2027/2/6,,2027/2/6,,TRUE,,
,,,,,,,
春節,2027/2/7,,2027/2/7,,TRUE,,
,,,,,,,
春節,2027/2/8,,2027/2/8,,TRUE,,
,,,,,,,
補假,2027/2/9,,2027/2/9,,TRUE,,
,,,,,,,
補假,2027/2/10,,2027/2/10,,TRUE,,
,,,,,,,
例假日,2027/2/13,,2027/2/13,,TRUE,,
,,,,,,,
例假日,2027/2/14,,2027/2/14,,TRUE,,
,,,,,,,
例假日,2027/2/20,,2027/2/20,,TRUE,,
,,,,,,,
例假日,2027/2/21,,2027/2/21,,TRUE,,
,,,,,,,
例假日,2027/2/27,,2027/2/27,,TRUE,,
,,,,,,,
和平紀念日,2027/2/28,,2027/2/28,,TRUE,,
,,,,,,,
補假,2027/3/1,,2027/3/1,,TRUE,,
,,,,,,,
例假日,2027/3/6,,2027/3/6,,TRUE,,
,,,,,,,
例假日,2027/3/7,,2027/3/7,,TRUE,,
,,,,,,,
例假日,2027/3/13,,2027/3/13,,TRUE,,
,,,,,,,
例假日,2027/3/14,,2027/3/14,,TRUE,,
,,,,,,,
例假日,2027/3/20,,2027/3/20,,TRUE,,
,,,,,,,
例假日,2027/3/21,,2027/3/21,,TRUE,,
,,,,,,,
例假日,2027/3/27,,2027/3/27,,TRUE,,
,,,,,,,
例假日,2027/3/28,,2027/3/28,,TRUE,,
,,,,,,,
例假日,2027/4/3,,2027/4/3,,TRUE,,
,,,,,,,
兒童節,2027/4/4,,2027/4/4,,TRUE,,
,,,,,,,
清明節,2027/4/5,,2027/4/5,,TRUE,,
,,,,,,,
補假,2027/4/6,,2027/4/6,,TRUE,,
,,,,,,,
例假日,2027/4/10,,2027/4/10,,TRUE,,
,,,,,,,
例假日,2027/4/11,,2027/4/11,,TRUE,,
,,,,,,,
例假日,2027/4/17,,2027/4/17,,TRUE,,
,,,,,,,
例假日,2027/4/18,,2027/4/18,,TRUE,,
,,,,,,,
例假日,2027/4/24,,2027/4/24,,TRUE,,
,,,,,,,
例假日,2027/4/25,,2027/4/25,,TRUE,,
,,,,,,,
補假,2027/4/30,,2027/4/30,,TRUE,,
,,,,,,,
勞動節,2027/5/1,,2027/5/1,,TRUE,,
,,,,,,,
例假日,2027/5/2,,2027/5/2,,TRUE,,
,,,,,,,
例假日,2027/5/8,,2027/5/8,,TRUE,,
,,,,,,,
例假日,2027/5/9,,2027/5/9,,TRUE,,
,,,,,,,
例假日,2027/5/15,,2027/5/15,,TRUE,,
,,,,,,,
例假日,2027/5/16,,2027/5/16,,TRUE,,
,,,,,,,
例假日,2027/5/22,,2027/5/22,,TRUE,,
,,,,,,,
例假日,2027/5/23,,2027/5/23,,TRUE,,
,,,,,,,
例假日,2027/5/29,,2027/5/29,,TRUE,,
,,,,,,,
例假日,2027/5/30,,2027/5/30,,TRUE,,
,,,,,,,
