year,term,type,month,day,hour,minute,datetime_tw
2025,小寒,節,1,5,10,33,2025-01-05 10:33
2025,大寒,中氣,1,20,4,0,2025-01-20 04:00
2025,立春,節,2,3,22,10,2025-02-03 22:10
2025,雨水,中氣,2,18,18,7,2025-02-18 18:07
2025,驚蟄,節,3,5,16,7,2025-03-05 16:07
2025,春分,中氣,3,20,17,1,2025-03-20 17:01
2025,清明,節,4,4,20,48,2025-04-04 20:48
2025,穀雨,中氣,4,20,3,56,2025-04-20 03:56
2025,立夏,節,5,5,13,57,2025-05-05 13:57
2025,小滿,中氣,5,21,2,55,2025-05-21 02:55
2025,芒種,節,6,5,17,56,2025-06-05 17:56
2025,夏至,中氣,6,21,10,42,2025-06-21 10:42
2025,小暑,節,7,7,4,5,2025-07-07 04:05
2025,大暑,中氣,7,22,21,29,2025-07-22 21:29
2025,立秋,節,8,7,13,52,2025-08-07 13:52
2025,處暑,中氣,8,23,4,34,2025-08-23 04:34
2025,白露,節,9,7,16,52,2025-09-07 16:52
2025,秋分,中氣,9,23,2,19,2025-09-23 02:19
2025,寒露,節,10,8,8,41,2025-10-08 08:41
2025,霜降,中氣,10,23,11,51,2025-10-23 11:51
2025,立冬,節,11,7,12,4,2025-11-07 12:04
2025,小雪,中氣,11,22,9,36,2025-11-22 09:36
2025,大雪,節,12,7,5,5,2025-12-07 05:05
2025,冬至,中氣,12,21,23,3,2025-12-21 23:03
2026,小寒,節,1,5,16,23,2026-01-05 16:23
2026,大寒,中氣,1,20,9,45,2026-01-20 09:45
2026,立春,節,2,4,4,2,2026-02-04 04:02
2026,雨水,中氣,2,18,23,52,2026-02-18 23:52
2026,驚蟄,節,3,5,21,59,2026-03-05 21:59
2026,春分,中氣,3,20,22,46,2026-03-20 22:46
2026,清明,節,4,5,2,40,2026-04-05 02:40
2026,穀雨,中氣,4,20,9,39,2026-04-20 09:39
2026,立夏,節,5,5,19,49,2026-05-05 19:49
2026,小滿,中氣,5,21,8,37,2026-05-21 08:37
2026,芒種,節,6,5,23,48,2026-06-05 23:48
2026,夏至,中氣,6,21,16,24,2026-06-21 16:24
2026,小暑,節,7,7,9,57,2026-07-07 09:57
2026,大暑,中氣,7,23,3,13,2026-07-23 03:13
2026,立秋,節,8,7,19,43,2026-08-07 19:43
2026,處暑,中氣,8,23,10,19,2026-08-23 10:19
2026,白露,節,9,7,22,41,2026-09-07 22:41
2026,秋分,中氣,9,23,8,5,2026-09-23 08:05
2026,寒露,節,10,8,14,29,2026-10-08 14:29
2026,霜降,中氣,10,23,17,38,2026-10-23 17:38
2026,立冬,節,11,7,17,52,2026-11-07 17:52
2026,小雪,中氣,11,22,15,23,2026-11-22 15:23
2026,大雪,節,12,7,10,52,2026-12-07 10:52
2026,冬至,中氣,12,22,4,50,2026-12-22 04:50
2027,小寒,節,1,5,22,10,2027-01-05 22:10
2027,大寒,中氣,1,20,15,30,2027-01-20 15:30
2027,立春,節,2,4,9,46,2027-02-04 09:46
2027,雨水,中氣,2,19,5,33,2027-02-19 05:33
2027,驚蟄,節,3,6,3,40,2027-03-06 03:40
2027,春分,中氣,3,21,4,25,2027-03-21 04:25
2027,清明,節,4,5,8,17,2027-04-05 08:17
2027,穀雨,中氣,4,20,15,18,2027-04-20 15:18
2027,立夏,節,5,6,1,25,2027-05-06 01:25
2027,小滿,中氣,5,21,14,18,2027-05-21 14:18
2027,芒種,節,6,6,5,26,2027-06-06 05:26
2027,夏至,中氣,6,21,22,11,2027-06-21 22:11
2027,小暑,節,7,7,15,37,2027-07-07 15:37
2027,大暑,中氣,7,23,9,5,2027-07-23 09:05
2027,立秋,節,8,8,1,27,2027-08-08 01:27
2027,處暑,中氣,8,23,16,14,2027-08-23 16:14
2027,白露,節,9,8,4,28,2027-09-08 04:28
2027,秋分,中氣,9,23,14,2,2027-09-23 14:02
2027,寒露,節,10,8,20,17,2027-10-08 20:17
2027,霜降,中氣,10,23,23,33,2027-10-23 23:33
2027,立冬,節,11,7,23,39,2027-11-07 23:39
2027,小雪,中氣,11,22,21,16,2027-11-22 21:16
2027,大雪,節,12,7,16,38,2027-12-07 16:38
2027,冬至,中氣,12,22,10,42,2027-12-22 10:42
2028,小寒,節,1,6,3,55,2028-01-06 03:55
2028,大寒,中氣,1,20,21,22,2028-01-20 21:22
2028,立春,節,2,4,15,31,2028-02-04 15:31
2028,雨水,中氣,2,19,11,26,2028-02-19 11:26
