deity_name,common_name,lunar_month,lunar_day,occasion_type,honorific_source,honorific_note,source_1,source_2,source_3,is_consensus,note
觀世音菩薩,觀音,2,19,佛辰,聖誕,"天后宮千秋表用「佛誕」,jendow百科用「誕辰」,佛光山星雲大師全集用「聖誕」",https://www.lungshan.org.tw/tw/02_3_birthday.php,https://tcmazu.org/pilgrimage-temples/,https://www.jendow.com.tw/wiki/觀音菩薩生日,true,"與六月十九成道、九月十九出家並列,三個紀念日皆有人祭祀,分列三行"
觀世音菩薩,觀音,6,19,成道,成道,"天后宮千秋表用「得道記念」,jendow用「成道」,佛光山全集用「成道日」",https://www.lungshan.org.tw/tw/02_3_birthday.php,https://tcmazu.org/pilgrimage-temples/,https://www.jendow.com.tw/wiki/觀音菩薩生日,true,與二月十九誕辰、九月十九出家並列
觀世音菩薩,觀音,9,19,出家,出家,"天后宮千秋表用「出家紀念」,jendow用「出家」,佛光山全集用「出家日」",https://www.lungshan.org.tw/tw/02_3_birthday.php,https://tcmazu.org/pilgrimage-temples/,https://www.jendow.com.tw/wiki/觀音菩薩生日,true,與二月十九誕辰、六月十九成道並列
地藏王菩薩,,7,30,佛辰,聖誕,"天后宮千秋表用「佛誕」,龍山寺與佛光山全集皆用「聖誕」",https://books.masterhsingyun.org/ArticleDetail/artcle8863,https://www.lungshan.org.tw/tw/02_3_birthday.php,https://tcmazu.org/pilgrimage-temples/,true,
釋迦牟尼佛,佛祖,4,8,佛辰,聖誕,"天后宮千秋表用「萬壽」(原文「釋迦佛祖萬壽」),佛光山全集用「佛誕日」(亦稱佛誕節、浴佛節),三源用詞完全不同",https://www.lungshan.org.tw/tw/02_3_birthday.php,https://tcmazu.org/pilgrimage-temples/,https://books.masterhsingyun.org/ArticleDetail/artcle8863,true,
釋迦牟尼佛,佛祖,12,8,成道,成道,龍山寺原文「釋迦牟尼佛成道」;佛光山分院法會名稱為「佛陀成道日(法寶節)」,https://www.lungshan.org.tw/tw/02_3_birthday.php,https://tcmazu.org/pilgrimage-temples/,https://www.fgs.org.tw/branch/activity_detail?BrID=E30303&LstID=F&ItmID=9&news_no=20231207000009,true,第二輪新驗證成功(原僅2源缺第3源);已由協調者重新逐字確認龍山寺頁面「十二月初八日 釋迦牟尼佛成道」屬實
濟公,,2,2,佛辰,聖誕,天后宮千秋表、KidsMedia皆用「佛辰」,https://tcmazu.org/pilgrimage-temples/,https://kidsmedia.com.tw/2025/02/27/,https://www.yuanbao.org.tw/,true,"主祀廟台中元保宮用「聖誕」;元保宮另載五月十六涅槃日,屬圓寂紀念非誕辰,未收錄"
文昌帝君,,2,3,千秋,千秋,"天后宮千秋表用「聖誕」,Yahoo新聞(命理專家撰文)用「誕辰」",https://www.lungshan.org.tw/tw/02_3_birthday.php,https://tcmazu.org/pilgrimage-temples/,https://tw.news.yahoo.com/,true,
月下老人,月老,8,15,千秋,千秋,台灣好廟網、松山霞海城隍廟皆用「聖誕」,https://www.lungshan.org.tw/tw/02_3_birthday.php,https://temples.tw/celebration,https://www.citygod.org.tw/,true,與中秋節同日
玉皇上帝,天公,1,9,萬壽,誕降之辰(俗稱天公生),行天宮用「聖誕」,https://www.tian.org.tw/?act=menuinfo&ml_id=20221129004,https://www.ht.org.tw/religion321.htm,https://zh.wikipedia.org/zh-tw/正月初九,true,"主祀廟台南首廟天壇原文引《臺灣通史》:「歲以孟春九日為誕降之辰」,俗稱天公生"
上元天官大帝,,1,15,聖誕,聖誕,三源用詞一致,https://www.twsanyuan.com/,https://religion.moi.gov.tw/Knowledge/Content?ci=2&cid=233,https://www.ht.org.tw/religion141.htm,true,與下元水官大帝同頁來源(廟宇同時列出三官大帝聖誕)
下元水官大帝,,10,15,聖誕,聖誕,三源用詞一致,https://www.twsanyuan.com/,https://religion.moi.gov.tw/Knowledge/Content?ci=2&cid=233,https://www.ht.org.tw/religion141.htm,true,與上元天官大帝同頁來源
太上老君,老子,2,15,萬壽,聖誕,"行天宮、維基百科皆用「聖誕」,並用「太上道祖」尊稱",https://www.ht.org.tw/religion139.htm,https://zh.wikipedia.org/zh-tw/太上老君,https://www.longcheng.org.tw/?act=menuinfo&ml_id=20221121009&cmd=detail&mi_id=20221124024,true,"高雄龍成宮僅記載生平敘事(「殷商時期,老子再度降凡」),未見明確敬稱詞"
瑤池金母,,7,18,聖誕,聖誕,三源用詞一致,https://www.hccc.gov.tw/zh-tw/CulturalHeritage/Detail/146,https://www.nownews.com/news/5627449,https://zh.wikipedia.org/zh-tw/西王母,true,"查證後判定與王母娘娘為同一神格之不同稱呼(慈惠堂系統稱瑤池金母、勝安宮系統稱王母娘娘),兩名稱皆於此日慶祝;另有農曆三月初三之說,已移入 unverified.csv"
王母娘娘,,7,18,聖誕,聖誕,三源用詞一致,https://www.hccc.gov.tw/zh-tw/CulturalHeritage/Detail/146,https://www.nownews.com/news/5627449,https://zh.wikipedia.org/zh-tw/西王母,true,"與瑤池金母為同一神格之不同稱呼,詳見瑤池金母同日期該行說明"
天上聖母,媽祖,3,23,聖誕,聖誕,"北港朝天宮(主祀廟)僅敘述誕生故事未用明確敬稱詞,新莊善德宮部落格用「誕辰」",https://www.matsu.org.tw/?act=menuinfo&ml_id=20240108003,https://tw.news.yahoo.com/%E5%AA%BD%E7%A5%96%E7%94%9F%E5%A4%A7%E7%94%B2%E9%8E%AE%E7%80%BE%E5%AE%AE%E8%88%89%E8%A1%8C%E5%AA%BD%E7%A5%96%E7%A5%9D%E5%A3%BD%E7%A7%91%E5%84%80-%E9%99%AA%E7%A5%AD%E4%BF%A1%E7%9C%BE%E5%A6%82%E6%BD%AE-050200772.html,https://shandegong.pixnet.net/blog/posts/3027313460,true,
保生大帝,大道公,3,15,千秋,神誕,"大龍峒保安宮(主祀廟)、自由時報皆用「神誕日」,天后宮千秋表用「千秋」",https://www.baoan.org.tw/ceremony.php?action=show&id=11&lang=tw,https://news.ltn.com.tw/news/life/breakingnews/5422132,https://tcmazu.org/pilgrimage-temples/,true,
開漳聖王,,2,16,千秋,聖誕千秋,"天后宮千秋表僅用「千秋」,三立新聞用「聖誕」",https://tcmb.culture.tw/zh-tw/detail?id=504299&indexCode=Culture_Media,https://tcmazu.org/pilgrimage-temples/,https://baodao.setn.com/news/1814132,true,國家文化記憶庫轉載廟方原文用合稱「聖誕千秋」
清水祖師,祖師公,1,6,千秋,聖誕,天后宮千秋表用「佛辰」,https://taiwangods.moi.gov.tw/html/cultural/3_0011.aspx?i=176,https://tcmazu.org/pilgrimage-temples/,https://www.sanxia.ntpc.gov.tw/home.jsp?id=b2ff21fbcb234003,true,內政部臺灣宗教文化地圖、新北市三峽區公所皆用「聖誕」
